Property_Name,Location,Region,Property_Age,Availability,Area_Type,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh,USD
Omkar Alta Monte ,W E Highway Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2900,17241,14,3,4,500,588235.2941
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900,12631,8,3,3,240,282352.9412
Legend 1 Pramila Nagar ,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,595,15966,3,1,2,95,111764.7059
Unnamed Property,Vidyavihar West Vidyavihar West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1450,25862,1,3,3,375,441176.4706
Unnamed Property,176 Cst Road Kalina Mumbai 400098 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,876,39954,5,2,2,350,411764.7059
Varun Garden ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1500,14666,7,3,3,220,258823.5294
Unnamed Property,V P Road Near Q Deck Family Restaurant And Bar Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Built Up Area,525,31428,1,1,2,165,194117.6471
Unnamed Property,Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,583,24013,3,2,2,140,164705.8824
Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1010,6435,1,3,3,65,76470.58824
Sunteck West World ,701 702 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,788,10250,7,2,4,86,101176.4706
Green Court ,702 Andheri West Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1200,34810,7,2,2,275,323529.4118
Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,630,11111,5,2,2,70,82352.94118
Unnamed Property,402 Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,790,34810,4,3,3,275,323529.4118
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,864,26041,7,2,2,225,264705.8824
Unnamed Property,New Madha Row House Colony Pawar Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Plot Area,1260,12698,2,2,2,160,188235.2941
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,896,8705,3,1,1,78,91764.70588
Haware Silicon Tower ,Plot No 46 Sector 30 A Vashi Navi Mumbai 400705 Palm Beach Navi Mumbai Mumbai,Palm Beach Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1985,16580,8,3,3,289,340000
Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,670,18656,5,2,2,125,147058.8235
Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,960,14062,3,2,2,135,158823.5294
Lodha Splendora ,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,743,18169,26,2,2,135,158823.5294
Lodha Palava Downtown ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Carpet Area,398,10552,11,1,2,42,49411.76471
Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1250,18000,2,2,2,225,264705.8824
Unnamed Property,101 Bandra East Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,820,24390,11,2,2,200,235294.1176
Unnamed Property,Ghatkopar East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1460,32876,5,3,3,480,564705.8824
Gauri Excellency ,2105 2106 Charkop Mumbai,Charkop Mumbai,Under Construction,Under Construction,Carpet Area,2230,19730,21,4,4,440,517647.0588
Unnamed Property,Laxmi Keshav Bhiwandi Mumbai Beyond Thane Mumbai Bhiwandi Mumbai Beyond Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,855,5300,3,1,1,45,52941.17647
Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1066,9193,13,2,2,98,115294.1176
Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,276,10869,2,1,1,30,35294.11765
Unnamed Property,Chakala Mumbai,Chakala Mumbai,10+ Year,Ready To Move,Built Up Area,300,18333,5,1,1,55,64705.88235
Unnamed Property,203 Seven Bunglow Mumbai,Seven Bunglow,10+ Year,Ready To Move,Carpet Area,625,40800,2,2,2,255,300000
Unnamed Property,201 Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,560,5000,2,1,2,28,32941.17647
Varsha Balaji Heritage ,Sector 11 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1700,15294,13,3,3,260,305882.3529
Bhanushanti Complex ,Malad East Malad East Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,720,13889,3,1,2,100,117647.0588
Sagar Mahal ,Walkeshwar Road Malabar Hill Walkeshwar South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Built Up Area,1250,65000,0,2,3,813,956470.5882
Unnamed Property,Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Built Up Area,1500,16666,15,3,3,250,294117.6471
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1690,8076,16,3,3,105,123529.4118
Unnamed Property,Near D Mart Sector 5 New Panvel East Navi Mumbai Mumbai,Panvel Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,525,10096,3,1,1,53,62352.94118
Unnamed Property,202 Plot No 157 Sector 12 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1085,11981,2,3,2,130,152941.1765
Samarth Garden ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,802,22443,20,2,2,180,211764.7059
Swan Lake Apartment ,1 101 Khar West Mumbai South West Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,2715,66298,0,4,4,1800,2117647.059
Unnamed Property,Sindhi Society Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,591,22335,2,1,2,130,152941.1765
Parinee Essence ,Kandivali West Mumbai,Kandivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,557,25134,7,2,2,140,164705.8824
Lalani Grandeur ,Goregaon East Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1531,24820,15,3,3,380,447058.8235
Unnamed Property,A 74 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,980,23469,7,2,2,230,270588.2353
Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,640,28125,8,2,2,180,211764.7059
Spring Hills ,901 Hiranandani Estate Thane Mumbai,Hiranandani Thane,10+ Year,Ready To Move,Super Built Up Area,1415,18091,9,3,3,256,301176.4706
Unnamed Property,4 14 Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,610,18852,1,1,1,115,135294.1176
Unnamed Property,Charni Road South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,950,31578,4,3,1,300,352941.1765
Unnamed Property,Building No 67 Pant Nagar Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,627,30303,12,2,2,190,223529.4118
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,850,14118,3,2,2,120,141176.4706
Shyam Niwas Apartment ,Chembur Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,1231,22339,5,3,3,275,323529.4118
Gami Vivaan ,Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,71.7,411436,11,3,3,295,347058.8235
Unnamed Property,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,1250,28000,3,3,3,350,411764.7059
Unnamed Property,Flat No 201 Near Karnik Road Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Built Up Area,871,8610,2,2,2,75,88235.29412
Unnamed Property,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,5 to 10 Year,Ready To Move,Carpet Area,595,5882,3,2,1,35,41176.47059
Bharat Shiv Sai Paradise ,Majiwada Thane Mumbai,Majiwada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,951,17692,1,2,2,115,135294.1176
Unnamed Property,Dadar west Mumbai South West Mumbai,Dadar Mumbai,10+ Year,Ready To Move,Built Up Area,1180,40254,4,3,2,475,558823.5294
Unnamed Property,Gajanan Colony Road Jawahar Nagar Goregaon West Mumbai,Goregaon Mumbai,1 to 5 Year,Ready To Move,Carpet Area,870,24712,2,3,3,215,252941.1765
Unnamed Property,Dahisar East Mumbai,Dahisar Mumbai,5 to 10 Year,Ready To Move,Built Up Area,2000,15000,3,3,3,300,352941.1765
Unnamed Property,Katrap Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Carpet Area,945,4391,4,2,2,41.5,48823.52941
Fortune Springs ,1003 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670,15454,10,1,1,68,80000
Lodha Casa Ultima ,A 404 Chirak Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,594,13132,4,1,2,78,91764.70588
Unnamed Property,2d 203 Near Lokhandwala Circle New Mhada Verosva Versova Mumbai,Verosva Mumbai,10+ Year,Ready To Move,Carpet Area,695,25899,2,2,2,180,211764.7059
Unnamed Property,Borivali West Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Carpet Area,776,32989,3,2,1,256,301176.4706
Royal Palms Estate ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,1080,9259,1,2,2,100,117647.0588
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,590,33898,10,2,2,200,235294.1176
Oberoi Woods ,Goregaon East Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Super Built Up Area,1250,27200,2,3,2,340,400000
Parinee Adney ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1060,25862,1,2,2,165,194117.6471
Unnamed Property,Divyam Heights Near Azad Nagar Metro Station Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1120,12053,8,2,2,155,182352.9412
Lodha Palava City ,Dombivli East Thane Mumbai,Dombivli Thane,0 to 1 Year,Ready To Move,Built Up Area,467,11349,6,1,2,53,62352.94118
Serenity Complex ,Oshiwara Mumbai,Oshiwara Mumbai,10+ Year,Ready To Move,Carpet Area,1525,22950,14,3,3,350,411764.7059
Om Classic ,Chembur East Mumbai Harbour Mumbai,Mumbai Harbour,5 to 10 Year,Ready To Move,Super Built Up Area,900,15889,4,2,2,143,168235.2941
Unnamed Property,A 2 8 Kopri Thane Mumbai,Thane,10+ Year,Ready To Move,Super Built Up Area,919,13057,2,1,1,120,141176.4706
Unnamed Property,Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,725,53571,7,2,2,375,441176.4706
