Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude,USD
Shree Labheshwar Aura ,Ulwe Navi Mumbai Mumbai,90 Lac,7964,Super Built Up Area,2,2,9,0 to 1 Year,Ready To Move,1130,Ulwe Navi-Mumbai,90,18.97686135,73.02013111,1058.823529
Krishna Vastu 1 ,Evershine Nagar Mumbai,1.65 Crore,27500,Carpet Area,2,2,2,10+ Year,Ready To Move,600,Evershine Nagar,165,19.17898665,72.83607339,1941.176471
Ganraj Eknath Residency ,Dombivli East Thane Mumbai,19.61 Lac,5447,Built Up Area,1,1,4,0 to 1 Year,Ready To Move,360,Dombivli Thane,19.6,19.2111814,73.091129,230.5882353
Unnamed Property,Hiranandani Estate Hiranandani Estate Thane Mumbai,1.33 Crore,16625,Super Built Up Area,2,2,6,10+ Year,Ready To Move,800,Hiranandani-Estate Thane,133,19.2571575,72.9839502,1564.705882
Balaji Symphony ,New Panvel Navi Mumbai Mumbai,54 Lac,8571,Built Up Area,1,2,24,1 to 5 Year,Ready To Move,630,Panvel Navi-Mumbai,54,18.9949462,73.1146581,635.2941176
Sky Pan Apartment ,Shastri Nagar Mumbai,2.8 Crore,35000,Carpet Area,2,2,8,10+ Year,Ready To Move,800,Shastri Nagar,280,19.1380387,72.8280164,3294.117647
Unnamed Property,Oshiwara Mumbai,3.3 Crore,30000,Built Up Area,2,2,6,10+ Year,Ready To Move,1100,Oshiwara Mumbai,330,19.1502437,72.8342294,3882.352941
Unnamed Property,Sector 21 Kamothe Navi Mumbai Mumbai,89 Lac,7355,Built Up Area,2,2,11,1 to 5 Year,Ready To Move,1210,Kamothe Navi-Mumbai,89,19.0173837,73.0954838,1047.058824
Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,6.5 Crore,34031,Super Built Up Area,3,3,10,10+ Year,Ready To Move,1910,Seawoods Navi-Mumbai,650,19.0214035,73.0241017,7647.058824
Hiranandani Rodas Enclave Woodville ,Hiranandani Estate Thane Mumbai,1.65 Crore,15865,Super Built Up Area,2,2,17,1 to 5 Year,Ready To Move,1040,Hiranandani-Estate Thane,165,19.2570093,72.9839263,1941.176471
Unnamed Property,Dahisar West Mumbai,1.55 Crore,21379,Carpet Area,2,2,1,10+ Year,Ready To Move,725,Dahisar Mumbai,155,19.0648226,72.8373616,1823.529412
K Raheja Residency ,Sankalp Colony Mumbai,1.9 Crore,16521,Super Built Up Area,2,2,5,5 to 10 Year,Ready To Move,1150,Sankalp Colony,190,19.1067707,72.86558667,2235.294118
